CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
3088000,SFDPH,BRANNAN ST,07TH ST,08TH ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
3072000,SFDPH,BRANNAN ST,DELANCEY ST,COLIN P KELLY JR ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
3073000,SFDPH,BRANNAN ST,COLIN P KELLY JR ST,02ND ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
179000,SFDPH,03RD ST,BRANNAN ST,TOWNSEND ST,,,NB,3,1/24/12,TUESDAY,24,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,22,,,,,,,,,
169000,SFDPH,03RD ST,CLEMENTINA ST,FOLSOM ST,,,NB,3,1/24/12,TUESDAY,24,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,22,,,,,,,,,
168000,SFDPH,03RD ST,HOWARD ST,CLEMENTINA ST,,,NB,3,1/24/12,TUESDAY,24,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,22,,,,,,,,,
13689000,SFDPH,WINSTON DR,BUCKINGHAM WAY,LAKE MERCED BLVD,,,WB,5,1/26/12,THURSDAY,26,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,25,,,,,,,,,
13689000,SFDPH,WINSTON DR,BUCKINGHAM WAY,LAKE MERCED BLVD,,,EB,5,1/26/12,THURSDAY,26,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,37,19,,,,,,,,,
7827201,SFDPH,KEZAR DR,WALLER ST,MARTIN LUTHER KING JR DR,,,EB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,36,25,,,,,,,,,
7827201,SFDPH,KEZAR DR,WALLER ST,MARTIN LUTHER KING JR DR,,,WB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,37,20,,,,,,,,,
9286101,SFDPH,MONTEREY BLVD,EL VERANO WAY \ NORTHGATE DR \ SAN FELIPE AVE,WESTGATE DR,,,WB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,29,,,,,,,,,
9286101,SFDPH,MONTEREY BLVD,EL VERANO WAY \ NORTHGATE DR \ SAN FELIPE AVE,WESTGATE DR,,,EB,3,5/8/12,TUESDAY,8,5,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
141000,SFDPH,02ND ST,STILLMAN ST,BRYANT ST,,,NB,3,5/15/12,TUESDAY,15,5,2012,,SFMTA IN-HOUSE NEW,,,,30,20,,,,,,,,,
141000,SFDPH,02ND ST,STILLMAN ST,BRYANT ST,,,NB,4,5/16/12,WEDNESDAY,16,5,2012,,SFMTA IN-HOUSE NEW,,,,30,21,,,,,,,,,
4217000,SFDPH,CLIPPER ST,DOUGLASS ST,CLIPPER TER \ GRAND VIEW AVE,,,WB,3,7/10/12,TUESDAY,10,7,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,36,26,,,,,,,,,
4217000,SFDPH,CLIPPER ST,DOUGLASS ST,CLIPPER TER \ GRAND VIEW AVE,,,EB,3,7/10/12,TUESDAY,10,7,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,43,23,,,,,,,,,
22156000,SFDPH,MONTEREY BLVD,MONTEREY BLVD,,,,EB,5,8/23/12,THURSDAY,23,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
22156000,SFDPH,MONTEREY BLVD,MONTEREY BLVD,,,,WB,5,8/23/12,THURSDAY,23,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,26,,,,,,,,,
4886201,SFDPH,DOLORES ST,28TH ST,VALLEY ST,,,NB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,27,,,,,,,,,
