,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
102,29 ST,28 ST,32.7431867,-117.1310024,32.7373807,-117.1336351,12789
103,29 ST,30  ST,32.7431867,-117.1310024,32.7483242,-117.1300991,11407
104,29 ST,30 ST,32.7431867,-117.1310024,32.7483242,-117.1300991,95595
105,29 ST,DALE  ST,32.7431867,-117.1310024,32.7341698,-117.1304058,6092
106,29 ST,DALE ST,32.7431867,-117.1310024,32.7341698,-117.1304058,34250
107,3 AV,4 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,9829
108,30 SB ST,BEYER  ST,32.7174202,-117.1627728,32.7174202,-117.1627728,13910
109,30 SB ST,BEYER BL,32.7483242,-117.1300991,32.5653829,-117.0597,65754
110,30 ST,30 ST,32.7483242,-117.1300991,32.7483242,-117.1300991,61764
111,30 ST,31  ST,32.7483242,-117.1300991,32.7174202,-117.1627728,21208
112,30 ST,31 ST,32.7483242,-117.1300991,32.7174202,-117.1627728,169181
113,30 ST,32 ST,32.7483242,-117.1300991,32.7642245,-117.1249832,16383
114,30 ST,34 ST,32.7483242,-117.1300991,32.7573414,-117.1200605,3401
115,30 ST,EDGEMONT  ST,32.7483242,-117.1300991,32.7190126,-117.1266082,3539
116,30 ST,EDGEMONT ST,32.7483242,-117.1300991,32.7190126,-117.1266082,9762
117,30 ST,F ST,32.7483242,-117.1300991,32.7190126,-117.1266082,0
118,30 ST,KANSAS ST,32.7483242,-117.1300991,32.7190126,-117.1266082,104312
119,30 ST,OHIO  ST,32.7483242,-117.1300991,32.7190126,-117.1266082,13837
120,30 ST,OHIO ST,32.7483242,-117.1300991,32.7190126,-117.1266082,188547
121,30 ST,SD 015 NB RAMPS ST,32.7483242,-117.1300991,,,19805
122,30 ST,SD 094 ST,32.7483242,-117.1300991,,,44639
123,30 ST ST,30 ST,32.7483242,-117.1300991,32.7483242,-117.1300991,12202
124,30TH  ST,32 ST,32.7483242,-117.1300991,32.7642245,-117.1249832,16245
125,30th  ST,EDGEMONT  ST,32.7483242,-117.1300991,32.7190126,-117.1266082,4015
126,31 ST,32 ST,32.7483242,-117.1300991,32.7642245,-117.1249832,71525
127,31 ST,HERMAN AV,32.7174202,-117.1627728,32.7437123,-117.1260941,83983
128,31 ST,IOWA ST,32.7174202,-117.1627728,32.5861291,-117.0930034,104682
129,32 ST,33  ST,32.7642245,-117.1249832,32.5861291,-117.0930034,7352
130,32 ST,33 ST,32.7642245,-117.1249832,32.7099528,-117.1222721,53850
131,32 ST,BOUNDARY ST,32.7642245,-117.1249832,32.7475024,-117.1229023,8848
132,32 ST,BRYANT ST,32.7642245,-117.1249832,32.692013,-117.124336,35726
133,32 ST,DIVISION ST,32.7642245,-117.1249832,32.6823742,-117.1108395,19674
134,32 ST,MAIN GATE ST,32.7642245,-117.1249832,,,16392
135,32 ST,MAIN ST,32.7642245,-117.1249832,32.6837975,-117.1129239,28832
136,32 ST,NAVY GT,32.7642245,-117.1249832,,,50460
137,32 ST,SD 805 ST,32.7642245,-117.1249832,,,19055
138,33 ST,35 ST,32.7099528,-117.1222721,32.7500396,-117.1180499,101182
139,33 ST,BANCROFT ST,32.7099528,-117.1222721,32.7455229,-117.1239441,29609
140,33 ST,SD 015  ST,32.7099528,-117.1222721,,,18871
141,33 ST,SD 015 ST,32.7099528,-117.1222721,,,194228
