,Unnamed: 0,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
1471,1471,DEL SUR BL,SMYTHE AV,32.567284,-117.058037,32.5611863,-117.0493615,34108
1472,1472,DEL SUR RDG RD,DEER RDG RD,33.0166034,-117.1217618,33.0137942,-117.1196476,5404
1473,1473,DEL SUR RDG RD,RHO BERNARDO RD,33.0166034,-117.1217618,33.0137942,-117.1196476,5294
1474,1474,DEL SUR ST,SMYTHE A,33.0166034,-117.1217618,32.5611863,-117.0493615,10027
1475,1475,DELLWOOD ST,CONVOY ST,32.8161269,-117.1577214,32.835655,-117.152397,13222
1476,1476,DELOS ST,BARNEY ST,32.683861,-117.040833,32.684494,-117.038322,3455
1477,1477,DELTA ST,GAMMA ST,32.688938,-117.099136,32.689976,-117.090942,79030
1478,1478,DEMUS ST,GAYLE ST,32.74762,-117.064568,32.747303,-117.064079,8192
1479,1479,DENBY ST,TONYE ST,32.74762,-117.064568,32.711601,-117.1037628,16554
1480,1480,DENNERY ,DEL SOL  BL,32.74762,-117.064568,32.711601,-117.1037628,11789
1481,1481,DENNERY  RD,KENTMERE TR,32.5777686,-117.0349102,32.711601,-117.1037628,12072
1482,1482,DENNERY RD,KENTMERE TR,32.5777686,-117.0349102,32.711601,-117.1037628,47593
1483,1483,DENVER  ST,ERIE  ST,32.7813144,-117.2043796,32.711601,-117.1037628,4322
1484,1484,DENVER ST,ERIE ST,32.7813144,-117.2043796,32.711601,-117.1037628,21478
1485,1485,DERBY DOWNS  RD,SEA COUNTRY  WY,32.9652082,-117.233346,32.711601,-117.1037628,29867
1486,1486,DERBY DOWNS RD,SEA COUNTRY WY,32.9652082,-117.233346,32.711601,-117.1037628,66785
1487,1487,DERRICK DR,LIMERICK AV,32.826099,-117.182587,32.8344783,-117.178741,6581
1488,1488,DERRICK DR,LIMERICK AVE DR,32.826099,-117.182587,32.8344783,-117.178741,2746
1489,1489,DERRICK DR,LYRIC LN,32.826099,-117.182587,32.827045,-117.178413,4539
1490,1490,DERRICK DR,MT ABERNATHY AV,32.826099,-117.182587,32.8292325,-117.1714406,15165
1491,1491,DERRICK ST,LIMERICK AV,32.826099,-117.182587,32.8344783,-117.178741,5533
1492,1492,DEWEY ST,EVANS ST,32.826099,-117.182587,32.7064804,-117.1354706,4369
1493,1493,DIAMOND ST,MISSOURI ST,32.802166,-117.243568,32.802296,-117.247513,80374
1494,1494,DIANE AV,LONGFORD ST,32.741222,-116.996338,32.835243,-117.182701,76671
1495,1495,DIAZ DR,POMERADO RD,33.015633,-117.060867,32.9148655,-117.0711548,1670
1496,1496,DICKENS ST,EMERSON ST,32.7240617,-117.2303973,32.724954,-117.2303534,109062
1497,1497,DIRECTORS PL,LUSK BL,32.894749,-117.209686,32.724954,-117.2303534,25865
1498,1498,DIVISION  ST,CERVANTES  AV,32.6823742,-117.1108395,32.6978572,-117.0700941,6242
1499,1499,DIVISION  ST,IMPERIAL  AV,32.6823742,-117.1108395,32.7064323,-117.1252448,2529
