,index,lat,lng
247,BERYL ST,32.808556,-117.232567
248,BESSEMER  ST,32.7190958,-117.2344186
249,BESSEMER ST,32.7190958,-117.2344186
250,BETA ST,32.6912378,-117.0843952
251,BEYER BL,32.5653829,-117.05969999999999
252,BEYER DR,32.588242,-117.060966
253,BEYER WY,32.588242,-117.060966
254,BIDDIS ST,32.588242,-117.060966
255,BIDDLE  ST,32.8149165,-117.1676283
256,BIRD ROCK AV,32.8149165,-117.1676283
257,BIRKDALE AV,32.8149165,-117.1676283
258,BIRKDALE WY,32.827457,-117.174507
259,BIRMINGHAM WY,32.7967961,-117.1541715
260,BISBY LAKE AV,32.803247,-117.0136774
261,BLACK MOUNTAIN RD,32.9891419,-117.1266465
262,BLACK MTN  RD,32.9891419,-117.1266465
263,BLACK MTN RD,32.9891419,-117.1266465
264,BLACKSTONE CT,32.710781,-117.035896
265,BLAINE AV,32.7494064,-117.1494531
266,BLUE DIAMOND CT,32.9300584,-117.0716563
267,BLUE LAKE  DR,32.792042,-117.029266
268,BLUE LAKE DR,32.792042,-117.029266
269,BLUFFSIDE AV,32.800627000000006,-117.125225
270,BOB  ST,32.787922,-117.027107
271,BOB ST,32.787922,-117.027107
272,BOBOLINK WY,32.785774,-117.158234
273,BOLERO DR,33.0138418,-117.0711731
274,BOLINAS ST,32.7463282,-117.2367682
275,BOLIVAR ST,32.677883,-117.069023
276,BOLLENBACHER ST,32.71619,-117.072899
277,BOND ST,32.8055424,-117.2210324
278,BONITO WY,32.7764728,-117.1374687
279,BOSTON AV,32.693226,-117.100166
280,BOSTON ST,32.693226,-117.100166
281,BOTERO DR,33.0256546,-117.082916
282,BOULDER LAKE  AV,32.800846,-117.017921
283,BOULDER LAKE AV,32.800846,-117.017921
284,BOUNDARY ST,32.7475024,-117.1229023
285,BOUNTY ST,32.792664,-117.070267
286,BRETON WY,32.784744,-117.070488
287,BRIARWOOD  RD,32.6838243,-117.033105
288,BRIARWOOD RD,32.6838243,-117.03310500000002
289,BRIGHTON  AV,33.02648,-117.2801505
290,BRIGHTON AV,33.02648,-117.2801505
291,BRINELL ST,32.8250418,-117.1531647
292,BRITANNIA BL,32.5636995,-116.9796988
293,BROADLAWN ST,32.8162736,-117.1684397
294,BROADWAY ,32.7158413,-117.13319
295,BROADWAY ST,33.172715,-117.36264599999998
296,BRODIAEA WY,32.841019,-117.260147
297,BROOKES AV,32.7433189,-117.1621502
298,BROOKHAVEN RD,32.694679,-117.036324
299,BROOKS AV,32.694679,-117.036324
300,BRUNNER ST,32.7698043,-117.1898983
301,BRYNWOOD WY,32.7698043,-117.1898983
302,BUENOS AV,32.7686115,-117.2007707
303,BULLOCK DR,32.695992,-117.047096
304,BUNKER HILL ST,32.804291,-117.2102103
305,BURROUGHS ST,33.18235,-117.358147
306,BURTON ST,32.776218,-117.172623
307,BUSHY HILL DR,32.8355573,-117.034492
308,BYRD ST,32.584492,-117.04882
309,C LEE AV,32.792931,-117.088966
310,C ST,32.716789,-117.1630123
311,CABLE  ST,32.7513107,-117.2446088
312,CABLE ST,32.7513107,-117.2446088
313,CABOT DR,32.8919367,-117.1440646
314,CACTUS RD,32.5574934,-116.9884477
315,CADDEN DR,32.8102524,-117.2115254
316,CAITHNESS DR,32.56588,-117.055206
317,CALAIS DR,32.945488,-117.246811
318,CALHOUN ST,32.755764,-117.1986223
319,CALICO ST,32.908127,-117.15062
320,CALIENTE AV,32.5651081,-117.0149647
321,CALLE ABAJO DR,32.9042837,-117.2441051
322,CALLE CIELO  ,32.853951,-117.249413
323,CALLE CLARA ,32.8541749,-117.2548068
324,CALLE DE ORO DR,32.7258856,-116.8662461
325,CALLE DE ORO ORO,10.2214321,-67.9460573
326,CALLE MAR DE MARIPOSA ,32.9137935,-117.2262388
327,CALLE NOBLEZA ,33.0109146,-117.0773257
328,CALLE ORO ,32.856953,-117.249023
329,CALLE ORO DR,32.856953,-117.249023
330,CALLE PLATA ,33.0962234,-117.2224056
331,CALLE PRIMERA ST,32.5508445,-117.0457019
332,CALLE ROSA WY,32.951637,-117.114548
333,CALLE ROSAS ST,32.951637,-117.114548
